"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
1,1,1113,11501,CAMBRIDGE HIGH SCHOOL,JEJWIN,BILASPUR,174017,9th-10th,,2025-26,94188-71427,pardeepdhiman96@gmail.com
2,2,1002,11502,SARSWATI VIDYA MANDIR,AUHAR,BILASPUR,174024,9th-10th (C ),,2025-26,"94599-24008,98171-44320",svmauhar9@gmail.com
3,3,1107,11505,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",HATWAR,BILASPUR,174028,9th-10th (C ),,2025-26,"88946-58735,94592-
97036,01978-252930",svmhatwar1950@gmail.com
4,4,1135,11506,NAV LOK ADARSH VIDYALYA,KHANSARA,BILASPUR,174026,9th-10th (C ),,2025-26,"94180-49929,94184-
45064,70188-75830",navalok1993@gmail.com
5,5,1117,11507,"ALPHA PUBLIC HIGH
SCHOOL",JHANDUTTA,BILASPUR,174031,9th-10th (C ),,2025-26,96255-37444,alphaphsjhandutta@gmail.com
6,6,1188,11509,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",RISHIKESH,BILASPUR,174024,9th-10th,,2025-26,"94182-56176, 98166-09114",svmrishikesh1986@gmail.com
7,7,1163,11516,"PEACE COTTAGE PUBLIC
SCHOOL",MOHRA,BILASPUR,174029,9th-10th,,2025-26,"98170-57462,01978-260100",peacecottage2005@gmail.com
8,8,1173,11517,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",NAMHOL,BILASPUR,174032,9th-10th (C ),,2025-26,"94187-86121,01978-240282",svmnamhole@gmail.com
9,9,1092,11518,ADARSH HIGH SCHOOL,GHUMARWIN,BILASPUR,174021,9th-10th,,2025-26,"01978-255605,98163-46162",adarsh.gmr@rediffmail.com
10,10,1179,11519,"SARSWATI  VIDYA MANDIR
(KANYA) HIGH SCHOOL",NIHAL,BILASPUR,174001,9th-10th (C ),,2025-26,"94186-53828,01978-
224554,98822-47622",svmkanyablp@gmail.com
11,11,1081,11523,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",GEHRWIN,BILASPUR,174034,9th-10th,,2025-26,"98171-71152,98170-95089",svmgehrwin@gmail.com
12,12,1118,11524,SARSWATI VIDYA MANDIR HIGH SCHOOL,JHANDUTTA,BILASPUR,174031,9th-10th (C ),,2025-26,"98171-44320,70186-
16939,01978-272330,94188-
82925",svm174031@gmail.com
13,13,1050,11533,VYAS PUBLIC SCHOOL,CHANDPUR,BILASPUR,174004,9th-10th (C ),,2025-26,"94180-76016, 01978-243437",sanjeevgautam0016@gmail.com
14,14,1035,11537,"SARSWATI VIDYA MANDIR
HIGH SCHOOL",BHARARI,BILASPUR,174027,9th-10th (C ),,2025-26,9817141245,svmbharari1983@gmail.com
15,15,1127,11543,"LITTLE ANGELS PUBLIC
SCHOOL",KALLAR,BILASPUR,174001,9th-10th (C ),,2025-26,82191-96783,l.a.p.s.kallar2000@gmail.com
16,16,1089,11544,"HOLY HEART PUBLIC
SCHOOL",GHUMARWIN,BILASPUR,174021,9th-10th,,2025-26,"98162-55414,94182-73626",hollyheart243@gmail.com
